source,freq,year,quarter,type_id,is_provisional,n,value_kchf,value_chf,geo_id
T_05_05_1_1_01,Q,2008,3,house_existing,0,130.0,305828.0,305828000.0,0000
T_05_05_1_1_01,Q,2008,3,house_new,0,27.0,38941.0,38941000.0,0000
T_05_05_1_1_01,Q,2008,3,land,0,48.0,21397.0,21397000.0,0000
T_05_05_1_1_01,Q,2008,3,mixed,0,18.0,68368.0,68368000.0,0000
T_05_05_1_1_01,Q,2008,3,multi_unit,0,38.0,201441.0,201441000.0,0000
T_05_05_1_1_01,Q,2008,3,ppe,0,292.0,265617.0,265617000.0,0000
T_05_05_1_1_01,Q,2008,3,ppe_existing,0,205.0,198214.0,198214000.0,0000
T_05_05_1_1_01,Q,2008,3,ppe_new,0,87.0,67403.0,67403000.0,0000
T_05_05_1_1_01,Q,2008,4,commercial,0,28.0,161253.0,161253000.0,0000
T_05_05_1_1_01,Q,2008,4,house,0,139.0,405079.0,405079000.0,0000
T_05_05_1_1_01,Q,2008,4,house_existing,0,118.0,372842.0,372842000.0,0000
T_05_05_1_1_01,Q,2008,4,house_new,0,21.0,32237.0,32237000.0,0000
T_05_05_1_1_01,Q,2008,4,land,0,54.0,24877.0,24877000.0,0000
T_05_05_1_1_01,Q,2008,4,mixed,0,29.0,211200.0,211200000.0,0000
T_05_05_1_1_01,Q,2008,4,multi_unit,0,35.0,128510.0,128510000.0,0000
T_05_05_1_1_01,Q,2008,4,ppe,0,295.0,329434.0,329434000.0,0000
T_05_05_1_1_01,Q,2008,4,ppe_existing,0,204.0,249884.0,249884000.0,0000
T_05_05_1_1_01,Q,2008,4,ppe_new,0,91.0,79550.0,79550000.0,0000
T_05_05_1_1_01,Q,2009,1,commercial,0,11.0,32894.0,32894000.0,0000
T_05_05_1_1_01,Q,2009,1,house,0,106.0,241043.0,241043000.0,0000
T_05_05_1_1_01,Q,2009,1,house_existing,0,89.0,220715.0,220715000.0,0000
T_05_05_1_1_01,Q,2009,1,house_new,0,17.0,20328.0,20328000.0,0000
T_05_05_1_1_01,Q,2009,1,land,0,39.0,28772.0,28772000.0,0000
T_05_05_1_1_01,Q,2009,1,mixed,0,15.0,71280.0,71280000.0,0000
T_05_05_1_1_01,Q,2009,1,multi_unit,0,14.0,61663.0,61663000.0,0000
T_05_05_1_1_01,Q,2009,1,ppe,0,257.0,211586.0,211586000.0,0000
T_05_05_1_1_01,Q,2009,1,ppe_existing,0,162.0,128057.0,128057000.0,0000
T_05_05_1_1_01,Q,2009,1,ppe_new,0,95.0,83529.0,83529000.0,0000
T_05_05_1_1_01,Q,2009,2,commercial,0,5.0,15126.0,15126000.0,0000
T_05_05_1_1_01,Q,2009,2,house,0,148.0,298774.0,298774000.0,0000
T_05_05_1_1_01,Q,2009,2,house_existing,0,119.0,249724.0,249724000.0,0000
T_05_05_1_1_01,Q,2009,2,house_new,0,29.0,49050.0,49050000.0,0000
T_05_05_1_1_01,Q,2009,2,land,0,46.0,15695.0,15695000.0,0000
T_05_05_1_1_01,Q,2009,2,mixed,0,15.0,77342.0,77342000.0,0000
T_05_05_1_1_01,Q,2009,2,multi_unit,0,28.0,105907.0,105907000.0,0000
T_05_05_1_1_01,Q,2009,2,ppe,0,263.0,276947.0,276947000.0,0000
T_05_05_1_1_01,Q,2009,2,ppe_existing,0,203.0,206486.0,206486000.0,0000
T_05_05_1_1_01,Q,2009,2,ppe_new,0,60.0,70461.0,70461000.0,0000
T_05_05_1_1_01,Q,2009,3,commercial,0,12.0,105864.0,105864000.0,0000
T_05_05_1_1_01,Q,2009,3,house,0,149.0,339375.0,339375000.0,0000
T_05_05_1_1_01,Q,2009,3,house_existing,0,133.0,313722.0,313722000.0,0000
T_05_05_1_1_01,Q,2009,3,house_new,0,16.0,25653.0,25653000.0,0000
T_05_05_1_1_01,Q,2009,3,land,0,49.0,17132.0,17132000.0,0000
T_05_05_1_1_01,Q,2009,3,mixed,0,7.0,40645.0,40645000.0,0000
T_05_05_1_1_01,Q,2009,3,multi_unit,0,27.0,123289.0,123289000.0,0000
T_05_05_1_1_01,Q,2009,3,ppe,0,275.0,264618.0,264618000.0,0000
T_05_05_1_1_01,Q,2009,3,ppe_existing,0,204.0,193191.0,193191000.0,0000
T_05_05_1_1_01,Q,2009,3,ppe_new,0,71.0,71427.0,71427000.0,0000
T_05_05_1_1_01,Q,2009,4,commercial,0,17.0,292716.0,292716000.0,0000
T_05_05_1_1_01,Q,2009,4,house,0,158.0,392460.0,392460000.0,0000
T_05_05_1_1_01,Q,2009,4,house_existing,0,122.0,333543.0,333543000.0,0000
T_05_05_1_1_01,Q,2009,4,house_new,0,36.0,58917.0,58917000.0,0000
T_05_05_1_1_01,Q,2009,4,land,0,31.0,15241.0,15241000.0,0000
T_05_05_1_1_01,Q,2009,4,mixed,0,14.0,167217.0,167217000.0,0000
T_05_05_1_1_01,Q,2009,4,multi_unit,0,32.0,283435.0,283435000.0,0000
T_05_05_1_1_01,Q,2009,4,ppe,0,306.0,312888.0,312888000.0,0000
T_05_05_1_1_01,Q,2009,4,ppe_existing,0,187.0,211419.0,211419000.0,0000
T_05_05_1_1_01,Q,2009,4,ppe_new,0,119.0,101469.0,101469000.0,0000
T_05_05_1_1_01,Q,2010,1,commercial,0,14.0,194411.0,194411000.0,0000
T_05_05_1_1_01,Q,2010,1,house,0,112.0,342701.0,342701000.0,0000
T_05_05_1_1_01,Q,2010,1,house_existing,0,99.0,285642.0,285642000.0,0000
T_05_05_1_1_01,Q,2010,1,house_new,0,13.0,57059.0,57059000.0,0000
T_05_05_1_1_01,Q,2010,1,land,0,31.0,25970.0,25970000.0,0000
T_05_05_1_1_01,Q,2010,1,mixed,0,16.0,118467.0,118467000.0,0000
T_05_05_1_1_01,Q,2010,1,multi_unit,0,23.0,121404.0,121404000.0,0000
