source,freq,year,quarter,geo_label,type_id,condition,market,is_provisional,n,unit,geo_id,p25,median,p75
T_05_05_1_1_02,Q,2016,4,Canton,house_existing,existing,all,0,131.0,CHF_per_object,0000,1400000.0,1750000.0,2900000.0
T_05_05_1_1_02,Q,2017,1,Canton,house_existing,existing,all,0,109.0,CHF_per_object,0000,1200000.0,1582000.0,2352000.0
T_05_05_1_1_02,Q,2017,2,Canton,house_existing,existing,all,0,119.0,CHF_per_object,0000,1250000.0,1685000.0,2690000.0
T_05_05_1_1_02,Q,2017,3,Canton,house_existing,existing,all,0,136.0,CHF_per_object,0000,1255000.0,1700000.0,2573000.0
T_05_05_1_1_02,Q,2017,4,Canton,house_existing,existing,all,0,133.0,CHF_per_object,0000,1380000.0,1700000.0,2340000.0
T_05_05_1_1_02,Q,2018,1,Canton,house_existing,existing,all,0,112.0,CHF_per_object,0000,1435000.0,1865000.0,2778000.0
T_05_05_1_1_02,Q,2018,2,Canton,house_existing,existing,all,0,109.0,CHF_per_object,0000,1325000.0,1800000.0,2700000.0
T_05_05_1_1_02,Q,2018,3,Canton,house_existing,existing,all,0,128.0,CHF_per_object,0000,1371000.0,1715000.0,2529000.0
T_05_05_1_1_02,Q,2018,4,Canton,house_existing,existing,all,0,124.0,CHF_per_object,0000,1354000.0,1700000.0,2795000.0
T_05_05_1_1_02,Q,2019,1,Canton,house_existing,existing,all,0,92.0,CHF_per_object,0000,1500000.0,1850000.0,2740000.0
T_05_05_1_1_02,Q,2019,2,Canton,house_existing,existing,all,0,131.0,CHF_per_object,0000,1340000.0,1820000.0,2620000.0
T_05_05_1_1_02,Q,2019,3,Canton,house_existing,existing,all,0,142.0,CHF_per_object,0000,1450000.0,1888000.0,2790000.0
T_05_05_1_1_02,Q,2019,4,Canton,house_existing,existing,all,0,144.0,CHF_per_object,0000,1480000.0,1999000.0,3024000.0
T_05_05_1_1_02,Q,2020,1,Canton,house_existing,existing,all,0,96.0,CHF_per_object,0000,1530000.0,2066000.0,3350000.0
T_05_05_1_1_02,Q,2020,2,Canton,house_existing,existing,all,0,119.0,CHF_per_object,0000,1423000.0,1800000.0,2636000.0
T_05_05_1_1_02,Q,2020,3,Canton,house_existing,existing,all,0,164.0,CHF_per_object,0000,1475000.0,1915000.0,3000000.0
T_05_05_1_1_02,Q,2020,4,Canton,house_existing,existing,all,0,165.0,CHF_per_object,0000,1600000.0,2059000.0,3050000.0
T_05_05_1_1_02,Q,2021,1,Canton,house_existing,existing,all,0,127.0,CHF_per_object,0000,1650000.0,2190000.0,4150000.0
T_05_05_1_1_02,Q,2021,2,Canton,house_existing,existing,all,0,167.0,CHF_per_object,0000,1766000.0,2250000.0,3550000.0
T_05_05_1_1_02,Q,2021,3,Canton,house_existing,existing,all,0,166.0,CHF_per_object,0000,1630000.0,2107000.0,3490000.0
T_05_05_1_1_02,Q,2021,4,Canton,house_existing,existing,all,0,162.0,CHF_per_object,0000,1670000.0,2195000.0,3100000.0
T_05_05_1_1_02,Q,2022,1,Canton,house_existing,existing,all,0,122.0,CHF_per_object,0000,1680000.0,2215000.0,3060000.0
T_05_05_1_1_02,Q,2022,2,Canton,house_existing,existing,all,0,151.0,CHF_per_object,0000,1676000.0,2250000.0,3670000.0
T_05_05_1_1_02,Q,2022,3,Canton,house_existing,existing,all,0,137.0,CHF_per_object,0000,1700000.0,2250000.0,3524000.0
T_05_05_1_1_02,Q,2022,4,Canton,house_existing,existing,all,0,143.0,CHF_per_object,0000,1625000.0,2050000.0,2758000.0
T_05_05_1_1_02,Q,2023,1,Canton,house_existing,existing,all,0,118.0,CHF_per_object,0000,1615000.0,2275000.0,4140000.0
